date,original_18_no_rules,original_18_active,original_18_total_wealth,optimal_standard_no_rules,optimal_standard_active,optimal_standard_total_wealth,optimal_ethical_no_rules,optimal_ethical_active,optimal_ethical_total_wealth,spy_benchmark
2017-07-17,426.3220269414564,302.0148255458867,379.8433012091387,464.2886917920561,242.9592904400354,386.14853475292,594.5791923516144,284.58139679271414,462.06701977004656,252.30605307586197
2017-07-18,429.5628845791501,304.31071220482664,382.13918786807864,464.67143629780986,243.15957818165327,386.0162327787386,600.7920227133911,287.5550224512202,465.04064542855264,252.4396465842819
2017-07-19,429.9477809607128,304.5833802965152,382.4118559597672,466.4495807504069,244.09006975325576,386.94672435034107,604.0224603174751,289.10119570694064,466.58681868427306,253.80634155124343
2017-07-20,431.6270883890147,305.7730343794513,383.6015100427033,469.34017344533765,245.6026983451795,388.4593529422648,610.7143312230543,292.3041028956942,469.7897258730266,253.91938637551883
2017-07-21,431.7773175550197,305.87945964602363,383.7079353092756,470.1728612893706,246.03843854587967,388.895093142965,609.1985794630847,291.57862383656817,469.0642468139006,253.69329672696804
2017-07-24,431.4979214323732,305.6815299921311,383.78049126705696,470.4836733651374,246.20108450888392,389.05773910596923,602.8471892228993,288.53867973933393,466.02430271666634,253.63168675650834
2017-07-25,432.110756113797,306.11567401402584,383.94414967727784,473.67704539686525,247.8721555831007,390.728810180186,599.082255249782,286.7366823221952,464.55416333844886,254.24821944479223
2017-07-26,432.5812516104187,306.448982185672,384.277457848924,476.92864407288954,249.57369628630707,392.4303508833924,600.7191586032206,287.5201477524163,465.0057707297487,254.2584486843971
2017-07-27,428.60662706673793,303.6332807620742,381.4617564253262,470.635047723783,246.28029773853504,389.1369523356203,592.1486794799343,283.4180887643761,460.9037117417085,254.02218391920238
2017-07-28,430.1898109755956,304.75483907204716,382.58331473529915,469.95053224678963,245.92209518584394,388.77874978292925,595.9541372913278,285.23948196705254,462.72510494438495,253.72416485565225
2017-07-31,429.91664325265134,304.56132173778775,382.38979740103974,468.3594230573361,245.08947796617795,387.9461325632633,594.8456030380898,284.70890802461213,462.19453100194454,253.58026994367964
2017-08-01,432.02138064140496,306.05235868899746,383.88083435224945,470.6248611484001,246.27496716906222,389.13162176614753,597.278077067216,285.8731547150031,463.35877769233554,254.14543994209566
2017-08-02,434.3709062830098,307.71680840522646,385.54528406847845,476.33329819123037,249.26215561014712,392.1188102072324,605.3930954552303,289.75721809556956,467.24284107290197,254.26878616992371
2017-08-03,435.176526889463,308.28752573048337,386.11600139373536,477.17043934233385,249.70022619783515,392.55688079492046,609.6441743259027,291.7918973753929,469.27752035272533,253.77554558650706
2017-08-04,436.29080709215134,309.0769035241632,386.9053791874152,477.92356437408364,250.0943316898735,392.9509862869588,611.4966510662337,292.67854195540986,470.16416493274227,254.2379721642004
2017-08-08,438.5923056780047,264.07000537312604,388.705630560946,483.03227735408007,252.76768838070944,395.62434297779475,616.6912175132667,295.16479945356167,472.6504224308941,254.08382997163596
2017-08-09,441.20068584000484,265.3137394480271,389.9493646358471,484.7159115315253,253.64872333233367,396.50537792941896,619.3230954642944,296.424486158253,473.9101091355854,254.07354660907023
2017-08-10,435.69617332555816,261.02799561670486,385.66362080452484,474.7343154612273,248.4254182172808,391.2820728143661,607.0996020312275,290.57399747715624,468.05962045448865,250.4872509757468
2017-08-11,433.7265523951902,260.02636455745204,384.661989745272,472.2608854232228,247.13108816442698,389.9877427615123,605.1147858001722,289.62401170120506,467.1096346785375,250.85712729034842
2017-08-14,440.11580621340266,264.3514784236736,388.9871036114936,482.0477742824895,252.25250424648803,395.10915884357337,616.0958991927424,294.8798642903902,472.3654872677226,253.34391497355008
2017-08-15,439.55822933873924,264.35949123285917,388.99511642067915,483.3809515338762,252.95014733957626,395.8068019366616,617.7450628367039,295.66919782135705,473.15482079868946,253.31311900881371
2017-08-16,439.51269434320676,263.9184888688825,388.5541140567025,482.7404212110309,252.6149619355485,395.4716165326338,616.0479376521785,294.85690862295075,472.34253160028317,253.7549788613756
